URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-servicesnyc-dob/7059580986.html,Architectural Services_NYC DOB Commercial Filing set,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-construction/7059565287.html,Architect-Construction Administration-Revit | Multi Family Residential,Downtown
https://newyork.craigslist.org/que/egr/d/project-architects/7059531617.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-intern/7059436981.html,Junior Architect/ Intern,Lower East Side
https://newyork.craigslist.org/que/egr/d/flushing-midsize-architectural-firm/7059372984.html,Midsize Architectural firm seeks Graduates,Flushing
https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-engineer-cnc/7059316143.html,Millwork Engineer / CNC Programmer,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-estimator/7059296582.html,Millwork Estimator,"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-spanish-speaking-nail/7059197113.html,SPANISH SPEAKING NAIL STYLIST NEEDED  (MANICURES&PEDICURES),Inwood / Wash Hts
https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7058453556.html,Drafter/Estimator Experienced in steel fabrication,college point queens
https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7058321558.html,Top Architectural Metal  + Glass Company looking for drafter/engineer!,Woodside
https://newyork.craigslist.org/fct/egr/d/stamford-construction-plans-estimator/7058209698.html,Construction Plans Estimator,Stamford
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7058077980.html,Facade / Building Envelope Architect or Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7058072439.html,Facade / Building Envelope Project Manager,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-in-house-interior-designer/7058060220.html,In-house Interior Designer,Murray Hill
https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7058057923.html,Interior Designer,Murray Hill
https://newyork.craigslist.org/mnh/egr/d/new-york-high-end-kitchen-designer/7058054892.html,High End Kitchen Designer,Murray Hill
https://newyork.craigslist.org/brk/egr/d/brooklyn-superintendent-construction/7058003819.html,Superintendent - Construction,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-engineer/7057984592.html,Electrical Engineer,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-architect-inspector/7057976104.html,Engineer - Architect - Inspector,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate/7057960292.html,"Architect, Intermediate",New York and Brooklyn
https://newyork.craigslist.org/que/egr/d/construction-estimator/7057938072.html,Construction Estimator,NYC
https://newyork.craigslist.org/stn/egr/d/staten-island-general-contractor/7057897320.html,General Contractor - Estimator Wanted Immediately,Staten Island
